,budget,original_language,release_date,revenue,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_revenue,real_profit
10,30000000.0,en,2004-02-25,611899420.0,127.0,The Passion of the Christ,Drama,2004,"[{None: None}, {None: None}, {None: None}]",R,6.433333333333334,41102858.65537321,838360512.385495,797257653.7301217
26,116000000.0,en,2018-09-28,855013954.0,112.0,Venom,"Action, Adventure, Sci-Fi",2018,"[{None: None}, {None: None}, {None: None}]",PG-13,5.666666666666667,119558897.20318429,881245908.9101219,761687011.7069377
30,160000000.0,en,2014-05-14,529076069.0,123.0,Godzilla,"Action, Adventure, Sci-Fi, Thriller",2014,"[{None: None}, {None: None}, {None: None}]",PG-13,6.2666666666666675,174919572.85752907,578410999.9913785,403491427.1338495
36,185000000.0,en,2017-03-08,566652812.0,118.0,Kong: Skull Island,"Action, Adventure, Fantasy, Sci-Fi",2017,"[{None: None}, {None: None}, {None: None}]",PG-13,6.433333333333334,195333040.95953,598302794.2498857,402969753.2903557
38,150000000.0,en,2018-08-09,530243742.0,113.0,The Meg,"Action, Horror, Sci-Fi, Thriller",2018,"[{None: None}, {None: None}, {None: None}]",PG-13,5.466666666666667,154602022.24549693,546511698.6414635,391909676.3959666
45,40000000.0,en,2016-10-07,175302354.0,139.0,Hacksaw Ridge,"Biography, Drama, History, War",2016,"[{None: None}, {None: None}, {None: None}]",R,7.766666666666666,43133908.594332665,189036892.84518364,145902984.25085098
49,88000000.0,en,2018-09-05,160542134.0,107.0,The Predator,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",R,5.2333333333333325,90699853.05069155,165467590.48005033,74767737.42935878
50,300000000.0,en,2017-11-15,657924295.0,120.0,Justice League,"Action, Adventure, Fantasy, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",PG-13,5.666666666666667,316756282.6370757,694672179.8027292,377915897.1656535
51,120000000.0,en,2018-04-12,426245950.0,107.0,Rampage,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",PG-13,5.666666666666666,123681617.79639754,439323238.9596865,315641621.16328895
52,5000000.0,en,2014-01-01,86362372.0,84.0,Paranormal Activity: The Marked Ones,"Horror, Mystery",2014,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",R,4.866666666666667,5466236.651797784,94415432.63251892,88949195.98072113
55,175000000.0,en,2018-03-28,582890172.0,140.0,Ready Player One,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",PG-13,7.133333333333333,180369025.95307976,600773328.9215034,420404302.96842366
56,207000000.0,en,2005-12-12,562363449.0,187.0,King Kong,"Action, Adventure, Drama, Romance",2005,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",PG-13,7.366666666666666,274315806.45161283,745242430.1031181,470926623.65150523
61,175000000.0,en,2017-10-27,800526015.0,105.0,Coco,"Animation, Adventure, Family, Fantasy, Music, Mystery",2017,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",PG,8.233333333333333,184774498.20496082,845238815.5522397,660464317.3472788
64,135000000.0,en,2013-03-20,587204668.0,98.0,The Croods,"Animation, Adventure, Comedy, Family, Fantasy",2013,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",PG,6.533333333333333,149982550.42776135,652373731.33131,502391180.9035487
72,180000000.0,en,2017-10-25,853977126.0,131.0,Thor: Ragnarok,"Action, Adventure, Comedy, Fantasy, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",PG-13,7.633333333333333,190053769.5822454,901675399.629512,711621630.0472665
73,149000000.0,en,2017-05-30,821847012.0,141.0,Wonder Woman,"Action, Adventure, Fantasy, Sci-Fi, War",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",PG-13,7.433333333333334,157322287.04308093,867750681.3916938,710428394.3486129
74,175000000.0,en,2017-07-05,880166924.0,133.0,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",PG-13,7.366666666666667,184774498.20496082,929328009.8211651,744553511.6162043
75,60000000.0,en,2016-08-18,76249438.0,102.0,Kubo and the Two Strings,"Animation, Action, Adventure, Family, Fantasy",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",PG,7.966666666666667,64700862.89149899,82223407.22653088,17522544.33503189
76,140000000.0,en,2014-12-03,268031828.0,150.0,Exodus: Gods and Kings,"Action, Adventure, Drama, Fantasy",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,5.666666666666667,153054626.25033793,293025080.41239184,139970454.1620539
77,110000000.0,en,2018-05-10,786365638.0,119.0,Deadpool 2,"Action, Adventure, Comedy, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",R,7.266666666666667,113374816.3133644,810491452.3944691,697116636.0811048
80,4000000.0,en,2017-09-01,41063475.0,132.0,Call Me by Your Name,"Drama, Romance",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",R,8.5,4223417.1018276755,43357045.643868305,39133628.54204063
83,25000000.0,en,2008-09-19,30700000.0,87.0,Igor,"Animation, Comedy, Family, Fantasy",2008,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",PG,5.166666666666666,30051950.042498242,36903794.65218785,6851844.6096896045
84,34000000.0,en,2014-09-10,348319861.0,113.0,The Maze Runner,"Action, Mystery, Sci-Fi, Thriller",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",PG-13,6.533333333333333,37170409.23222493,380799758.14946187,343629348.9172369
85,20000000.0,en,2017-03-03,92924405.0,132.0,The Shack,"Drama, Fantasy",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",PG-13,5.633333333333334,21117085.50913838,98114630.3135403,76997544.80440192
88,8820000.0,ko,2016-07-20,87547518.0,118.0,Train to Busan,"Action, Horror, Thriller",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Not Rated,7.533333333333333,9511026.845050352,94406665.97681734,84895639.13176699
90,165000000.0,en,2016-10-25,677700000.0,115.0,Doctor Strange,"Action, Adventure, Fantasy, Sci-Fi",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",PG-13,7.366666666666667,177927372.95162225,730796246.3594812,552868873.407859
91,150000000.0,en,2018-03-21,290061297.0,111.0,Pacific Rim: Uprising,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",PG-13,5.366666666666666,154602022.24549693,298960420.60901123,144358398.3635143
92,140000000.0,en,2018-07-04,622674139.0,119.0,Ant-Man and the Wasp,"Action, Adventure, Comedy, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",PG-13,7.0,144295220.7624638,641777873.9291576,497482653.1666938
93,22000000.0,en,2014-02-28,67800064.0,138.0,Son of God,"Biography, Drama, History",2014,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",PG-13,5.4,24051441.267910246,74122238.96620709,50070797.698296845
95,100000000.0,en,2016-08-17,94061311.0,125.0,Ben-Hur,"Action, Adventure, Drama, History",2016,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",PG-13,5.066666666666667,107834771.48583165,101430799.77342743,-6403971.712404221
