date,Zero Dark Thirty,Amour,Beasts of the Southern Wild,The Impossible,The Sessions,Brave,Frankenweenie,ParaNorman,Wreck-It Ralph,Anna Karenina,Life of Pi,Skyfall,Mirror Mirror,Snow White and the Huntsman,The Gatekeepers,How to Survive a Plague,The Invisible War,Searching for Sugar Man,Inocente,Kings Point,Kon-Tiki,A Royal Affair,Hitchcock,The Hobbit: An Unexpected Journey,Chasing Ice,Ted,Fresh Guacamole,Paperman,Asad,Curfew,Prometheus,Moonrise Kingdom,American Hustle,Nebraska,The Wolf of Wall Street,12 Years a Slave,Dallas Buyers Club,Captain Phillips,Blue Jasmine,Gravity,Philomena,August: Osage County,The Croods,Despicable Me 2,Frozen,The Wind Rises,The Grandmaster,Inside Llewyn Davis
2012-01-01,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,
2012-01-02,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,
2012-01-03,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,
2012-01-04,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,
2012-01-05,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,
2012-01-06,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,
2012-01-07,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,
2012-01-08,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,
2012-01-09,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,
2012-01-10,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,
2012-01-11,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
2012-01-12,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
2012-01-13,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
2012-01-14,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,
2012-01-15,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,
2012-01-16,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,
2012-01-17,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
2012-01-18,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
2012-01-19,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
2012-01-20,,,,,,,,,,,,,,,,,100.0,,,42.0,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,
2012-01-21,,,,,,,,,,,,,,,,,0.0,,,32.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,
2012-01-22,,,,,,,,,,,,,,,,,0.0,,,31.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
2012-01-23,,,,,,,,,,,,,,,,,0.0,,,66.0,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
2012-01-24,,,,,,,,,,,,,,,,,0.0,,,40.0,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,
2012-01-25,,,,,,,,,,,,,,,,,32.0,,,27.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
2012-01-26,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,
2012-01-27,,,,,,,,,,,,,,,,,0.0,,,55.0,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,
2012-01-28,,,,,,,,,,,,,,,,,79.0,,,17.0,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,
2012-01-29,,,,,,,,,,,,,,,,,40.0,,,33.0,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,
2012-01-30,,,,,,,,,,,,,,,,,64.0,,,40.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
2012-01-31,,,,,,,,,,,,,,,,,63.0,,,40.0,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
2012-02-01,,,,,,,,,,,,,,,,,0.0,,,13.0,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
2012-02-02,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-03,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-04,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-06,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-07,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-08,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-09,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-11,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-12,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-13,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-14,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-16,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-17,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
