date,Biutiful,True Grit,The Social Network,The King's Speech,127 Hours,The Fighter,Winter's Bone,The Town,The Kids Are All Right,Rabbit Hole,Black Swan,Blue Valentine,Animal Kingdom,How to Train Your Dragon,The Illusionist,Toy Story 3,Alice in Wonderland
2010-02-16,,,,,,,,,,,,,,,64.0,,
2010-02-17,,,,,,,,,,,,,,,32.0,,
2010-02-18,,,,,,,,,,,,,,,32.0,,
2010-02-19,,,,,,,,,,,,,,,0.0,,
2010-02-20,,,,,,,,,,,,,,,47.0,,
2010-02-21,,,,,,,,,,,,,,,0.0,,
2010-02-22,,,,,,,,,,,,,,,31.0,,
2010-02-23,,,,,,,,,,,,,,,61.0,,
2010-02-24,,,,,,,,,,,,,,,0.0,,
2010-02-25,,,,,,,,,,,,,,,32.0,,
2010-02-26,,,,,,,,,,,,,,,100.0,,
2010-02-27,,,,,,,,,,,,,,,90.0,,
2010-02-28,,,,,,,,,,,,,,,0.0,,
2010-03-01,,,,,,,,,,,,,,,0.0,,
2010-03-02,,,,,,,,,,,,,,,0.0,,
2010-03-03,,,,,,,,,,,,,,,63.0,,28.0
2010-03-04,,,,,,,,,,,,,,,33.0,,35.0
2010-03-05,,,,,,,,,,,,,,,34.0,,72.0
2010-03-06,,,,,,,,,,,,,,,0.0,,100.0
2010-03-07,,,,,,,,,,,,,,,0.0,,91.0
2010-03-08,,,,,,,,,,,,,,,0.0,,47.0
2010-03-09,,,,,,,,,,,,,,,32.0,,29.0
2010-03-10,,,,,,,,,,,,,,3.0,0.0,,27.0
2010-03-11,,,,,,,,,,,,,,7.0,0.0,,24.0
2010-03-12,,,,,,,,,,,,,,6.0,67.0,,29.0
2010-03-13,,,,,,,,,,,,,,17.0,46.0,,47.0
2010-03-14,,,,,,,,,,,,,,14.0,47.0,,42.0
2010-03-15,,,,,,,,,,,,,,7.0,32.0,,23.0
2010-03-16,,,,,,,,,,,,,,8.0,0.0,,18.0
2010-03-17,,,,,,,,,,,,,,5.0,,,14.0
2010-03-18,,,,,,,,,,,,,,11.0,,,14.0
2010-03-19,,,,,,,,,,,,,,9.0,,,19.0
2010-03-20,,,,,,,,,,,,,,20.0,,,23.0
2010-03-21,,,,,,,,,,,,,,12.0,,,23.0
2010-03-22,,,,,,,,,,,,,,9.0,,,15.0
2010-03-23,,,,,,,,,,,,,,17.0,,,14.0
2010-03-24,,,,,,,,,,,,,,15.0,,,9.0
2010-03-25,,,,,,,,,,,,,,25.0,,,10.0
2010-03-26,,,,,,,,,,,,,,55.0,,,13.0
2010-03-27,,,,,,,,,,,,,,92.0,,,13.0
2010-03-28,,,,,,,,,,,,,,100.0,,,18.0
2010-03-29,,,,,,,,,,,,,,64.0,,,12.0
2010-03-30,,,,,,,,,,,,,,34.0,,,12.0
2010-03-31,,,,,,,,,,,,,,31.0,,,8.0
2010-04-01,,,,,,,,,,,,,,41.0,,,9.0
2010-04-02,,,,,,,,,,,,,,48.0,,,12.0
2010-04-03,,,,,,,,,,,,,,73.0,,,15.0
2010-04-04,,,,,,,,,,,,,,58.0,,,
2010-04-05,,,,,,,,,,,,,,35.0,,,
2010-04-06,,,,,,,,,,,,,,36.0,,,
2010-04-07,,,,,,,,,,,,,,32.0,,,
2010-04-08,,,,,,,,,,,,,,29.0,,,
2010-04-09,,,,,,,,,,,,,,31.0,,,
2010-04-10,,,,,,,,,,,,,,47.0,,,
2010-06-03,,,,,,,,,,,,,64.0,,,,
2010-06-04,,,,,,,,,,,,,38.0,,,,
2010-06-05,,,,,,,,,,,,,40.0,,,,
2010-06-06,,,,,,,,,,,,,68.0,,,,
2010-06-07,,,,,,,,,,,,,54.0,,,,
2010-06-08,,,,,,,,,,,,,79.0,,,,
2010-06-09,,,,,,,,,,,,,63.0,,,,
2010-06-10,,,,,,,,,,,,,64.0,,,,
2010-06-11,,,,,,,68.0,,,,,,80.0,,,,
2010-06-12,,,,,,,95.0,,,,,,84.0,,,,
2010-06-13,,,,,,,32.0,,,,,,56.0,,,,
2010-06-14,,,,,,,21.0,,,,,,55.0,,,,
2010-06-15,,,,,,,0.0,,,,,,36.0,,,,
2010-06-16,,,,,,,21.0,,,,,,28.0,,,22.0,
2010-06-17,,,,,,,22.0,,,,,,85.0,,,35.0,
2010-06-18,,,,,,,0.0,,,,,,61.0,,,69.0,
2010-06-19,,,,,,,0.0,,,,,,100.0,,,100.0,
2010-06-20,,,,,,,100.0,,,,,,74.0,,,96.0,
2010-06-21,,,,,,,21.0,,,,,,56.0,,,58.0,
2010-06-22,,,,,,,61.0,,,,,,80.0,,,42.0,
2010-06-23,,,,,,,0.0,,,,,,36.0,,,38.0,
2010-06-24,,,,,,,21.0,,,,,,27.0,,,33.0,
2010-06-25,,,,,,,0.0,,,,,,40.0,,,39.0,
2010-06-26,,,,,,,63.0,,,,,,69.0,,,56.0,
2010-06-27,,,,,,,0.0,,,,,,14.0,,,54.0,
2010-06-28,,,,,,,20.0,,,,,,63.0,,,30.0,
2010-06-29,,,,,,,41.0,,,,,,45.0,,,26.0,
2010-06-30,,,,,,,21.0,,,,,,64.0,,,24.0,
2010-07-01,,,,,,,0.0,,,,,,75.0,,,23.0,
2010-07-02,,,,,,,64.0,,,,,,66.0,,,25.0,
2010-07-03,,,,,,,27.0,,,,,,60.0,,,31.0,
2010-07-04,,,,,,,29.0,,,,,,,,,31.0,
2010-07-05,,,,,,,49.0,,,,,,,,,33.0,
2010-07-06,,,,,,,18.0,,,,,,,,,20.0,
2010-07-07,,,,,,,53.0,,,,,,,,,19.0,
2010-07-08,,,,,,,18.0,,,,,,,,,16.0,
2010-07-09,,,,,,,0.0,,72.0,,,,,,,17.0,
2010-07-10,,,,,,,99.0,,100.0,,,,,,,24.0,
2010-07-11,,,,,,,52.0,,86.0,,,,,,,23.0,
2010-07-12,,,,,,,,,44.0,,,,,,,15.0,
2010-07-13,,,,,,,,,31.0,,,,,,,16.0,
2010-07-14,,,,,,,,,51.0,,,,,,,15.0,
2010-07-15,,,,,,,,,44.0,,,,,,,12.0,
2010-07-16,,,,,,,,,47.0,,,,,,,11.0,
2010-07-17,,,,,,,,,57.0,,,,,,,,
2010-07-18,,,,,,,,,51.0,,,,,,,,
2010-07-19,,,,,,,,,40.0,,,,,,,,
2010-07-20,,,,,,,,,19.0,,,,,,,,
2010-07-21,,,,,,,,,35.0,,,,,,,,
2010-07-22,,,,,,,,,32.0,,,,,,,,
2010-07-23,,,,,,,,,51.0,,,,,,,,
2010-07-24,,,,,,,,,77.0,,,,,,,,
2010-07-25,,,,,,,,,51.0,,,,,,,,
2010-07-26,,,,,,,,,28.0,,,,,,,,
2010-07-27,,,,,,,,,39.0,,,,,,,,
2010-07-28,,,,,,,,,27.0,,,,,,,,
2010-07-29,,,,,,,,,36.0,,,,,,,,
2010-07-30,,,,,,,,,34.0,,,,,,,,
2010-07-31,,,,,,,,,56.0,,,,,,,,
2010-08-01,,,,,,,,,56.0,,,,,,,,
2010-08-02,,,,,,,,,36.0,,,,,,,,
