date,The Salt of the Earth,Virunga,Timbuktu,Wild Tales,Guardians of the Galaxy,Interstellar,The Lego Movie,Selma,Beyond the Lights,The Bigger Picture,The Dam Keeper,Feast,A Single Life,The Hobbit: The Battle of the Five Armies,Captain America: The Winter Soldier,Dawn of the Planet of the Apes,X-Men: Days of Future Past,Nightcrawler,Trumbo,The Martian,The Revenant,Steve Jobs,The Danish Girl,The Big Short,Spotlight,Bridge of Spies,Creed,Carol,Room,Joy,45 Years,Brooklyn,The Hateful Eight,Anomalisa,Inside Out,Shaun the Sheep Movie,Mad Max: Fury Road,Sicario,Cinderella,Amy,Cartel Land,Body Team 12,Last Day of Freedom,Star Wars: The Force Awakens,Embrace of the Serpent
2014-02-06,,,,,,,21.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,,,,,,,48.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-08,,,,,,,100.0,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-09,,,,,,,98.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,,,,,,,49.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,,,,,,,34.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,,,,,,,29.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-13,,,,,,,32.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,,,,,,,39.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-15,,,,,,,65.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-16,,,,,,,61.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,,,,,,,48.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,,,,,,,29.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,,,,,,,22.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,,,,,,,23.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,,,,,,,28.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-22,,,,,,,47.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-23,,,,,,,49.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,,,,,,,19.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,,,,,,,20.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,,,,,,,16.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,,,,,,,15.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,,,,,,,21.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-01,,,,,,,38.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-02,,,,,,,35.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,,,,,,,17.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,,,,,,,17.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,,,,,,,15.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,,,,,,,12.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-22,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-23,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-24,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
