date,Extremely Loud & Incredibly Close,Albert Nobbs,The Help,The Girl with the Dragon Tattoo,The Iron Lady,Bridesmaids,Kung Fu Panda 2,Puss in Boots,Rango,Hugo,Midnight in Paris,War Horse,The Tree of Life,Anonymous,Jane Eyre,W.E.,Hell and Back Again,Paradise Lost 3: Purgatory,Pina,Undefeated,Incident in New Baghdad,Bullhead,Footnote,In Darkness,A Separation,The Adventures of Tintin,The Muppets,Rio,Wild Life,Pentecost,Raju,The Shore,Time Freak,Drive,Transformers: Dark of the Moon,Real Steel,Rise of the Planet of the Apes,The Ides of March,Margin Call,Silver Linings Playbook,The Master,Flight,Argo,Django Unchained,Extremely Loud & Incredibly Close,Warrior
2011-02-02,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-03,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-04,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-05,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-06,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-07,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-08,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-09,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-10,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,23.0,73.0,,22.0,0.0,,,,,,,,,,,,,
2011-02-11,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,64.0,15.0,,68.0,53.0,,,,,,35.0,,,,,,,
2011-02-12,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,58.0,0.0,,50.0,65.0,,,,,,86.0,,,,,,,
2011-02-13,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,20.0,39.0,,55.0,67.0,,,,,,0.0,,,,,,,
2011-02-14,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,53.0,59.0,,21.0,0.0,,,,,,0.0,,,,,,,
2011-02-15,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,46.0,88.0,,30.0,0.0,,,,,,100.0,,,,,,,
2011-02-16,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,52.0,43.0,,21.0,0.0,,,,,,33.0,,,,,,,
2011-02-17,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,100.0,45.0,,26.0,51.0,,,,,,67.0,,,,,,,
