,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,imdb_id,budget,0,Metascore,imdbRating,imdbVotes,BoxOffice
0,FALSE,/8tNX8s3j1O0eqilOQkuroRLyOZA.jpg,"[14, 28, 12]",458576,en,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",1914.113,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,12/3/2020,Monster Hunter,FALSE,7.2,1216,tt6475714,25814306,60000000,44,5.3,"12,813","$12,897,385 "
1,FALSE,/egg7KFi18TSQc1s24RMmR9i2zO6.jpg,"[14, 28, 12]",464052,en,Wonder Woman 1984,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,1767.249,/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg,12/16/2020,Wonder Woman 1984,FALSE,6.8,4425,tt7126948,159533000,200000000,60,5.4,"170,592","$44,953,000 "
2,FALSE,/drulhSX7P5TQlEMQZ3JoXKSDEfz.jpg,"[18, 14, 878]",581389,ko,승리호,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",2505.377,/lykPQ7lgrLJPwLlSyetVXsl2wDf.jpg,2/5/2021,Space Sweepers,FALSE,7.2,412,tt12838766,0,21000000,64,6.6,"14,931",N/A
3,FALSE,/uQtqiAu2bBlokqjlURVLEha6zoi.jpg,"[80, 18]",544401,en,Cherry,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",1575.089,/pwDvkDyaHEU9V7cApQhbcSJMG1w.jpg,2/26/2021,Cherry,FALSE,7.8,329,tt9130508,0,0,44,6.4,"3,428",N/A
4,FALSE,/vKzbIoHhk1z9DWYi8kyFe9Gg0HF.jpg,[35],484718,en,Coming 2 America,"Prince Akeem Joffer is set to become King of Zamunda when he discovers he has a son he never knew about in America – a street savvy Queens native named Lavelle. Honoring his royal father's dying wish to groom this son as the crown prince, Akeem and Semmi set off to America once again.",1008.327,/nWBPLkqNApY5pgrJFMiI9joSI30.jpg,3/5/2021,Coming 2 America,FALSE,6.9,991,tt6802400,0,60000000,52,5.4,"39,749",N/A
5,FALSE,/lOSdUkGQmbAl5JQ3QoHqBZUbZhC.jpg,"[53, 28, 878]",775996,en,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",1084.768,/6XYLiMxHAaCsoyrVo38LBWMw2p8.jpg,1/15/2021,Outside the Wire,FALSE,6.5,888,tt10451914,0,0,45,5.4,"31,656",N/A
6,FALSE,/vfuzELmhBjBTswXj2Vqxnu5ge4g.jpg,"[53, 80]",602269,en,The Little Things,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",846.519,/c7VlGCCgM9GZivKSzBgzuOVxQn7.jpg,1/28/2021,The Little Things,FALSE,6.4,628,tt10016180,23205000,30000000,54,6.3,"38,845","$11,800,000 "
7,FALSE,/fRrpOILyXuWaWLmqF7kXeMVwITQ.jpg,"[27, 53, 12, 9648]",522444,en,Black Water: Abyss,"An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",832.496,/95S6PinQIvVe4uJAd82a2iGZ0rA.jpg,7/9/2020,Black Water: Abyss,FALSE,5,170,tt7978672,0,0,46,4.5,"3,953",N/A
8,FALSE,/jeAQdDX9nguP6YOX6QSWKDPkbBo.jpg,"[14, 28, 878]",590706,en,Jiu Jitsu,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",845.069,/eLT8Cu357VOwBVTitkmlDEg32Fs.jpg,11/20/2020,Jiu Jitsu,FALSE,5.2,338,tt9624766,99924,23000000,27,2.9,"4,634",N/A
9,FALSE,/u5WUCO6irZoq27qbYYrtLUrCGDV.jpg,"[27, 53]",630586,en,Wrong Turn,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",671.894,/4U1SBHmwHkNA0eHZ2n1CuiC1K1g.jpg,1/26/2021,Wrong Turn,FALSE,6.2,291,tt9110170,0,0,46,5.4,"11,480","$645,158 "
10,FALSE,/cjaOSjsjV6cl3uXdJqimktT880L.jpg,"[10751, 14, 16, 35]",529203,en,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",701.92,/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg,11/25/2020,The Croods: A New Age,FALSE,7.5,1781,tt2850386,135076090,65000000,56,7,"20,408","$54,541,788 "
11,FALSE,/fX8e94MEWSuTJExndVYxKsmA4Hw.jpg,"[28, 12, 80]",604822,zh,急先锋,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,698.927,/mKvw1Ic9enfFlCPBNJGiejRPMUO.jpg,9/30/2020,Vanguard,FALSE,6.2,257,tt9695722,27900000,0,34,4.7,"3,126","$793,525 "
12,FALSE,/kf456ZqeC45XTvo6W9pW5clYKfQ.jpg,"[10751, 16, 35, 18, 10402, 14]",508442,en,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful gig at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",688.025,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,12/25/2020,Soul,FALSE,8.3,5370,tt2948372,57400000,150000000,83,8.1,"183,844",N/A
13,FALSE,/6hgItrYQEG33y0I7yP2SRl2ei4w.jpg,"[10749, 18]",613504,en,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,661.453,/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg,9/2/2020,After We Collided,FALSE,7.3,3475,tt10362466,0,0,14,5,"19,476","$2,386,483 "
14,FALSE,/3ombg55JQiIpoPnXYb2oYdr6DtP.jpg,"[878, 28]",560144,en,Skylines,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",650.056,/2W4ZvACURDyhiNnSIaFPHfNbny3.jpg,10/25/2020,Skylines,FALSE,5.9,233,tt9387250,0,0,46,4.7,"3,161",N/A
15,FALSE,/sNKnz0ZU8u55yCFreZUSOIBMSuY.jpg,"[35, 10751]",638597,en,Yes Day,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,515.648,/rejrD9ovTHJbfmpLM0mbEliEPV6.jpg,3/12/2021,Yes Day,FALSE,7.1,319,tt8521876,0,0,46,5.8,"2,197",N/A
16,FALSE,/54yOImQgj8i85u9hxxnaIQBRUuo.jpg,"[28, 80, 18, 53]",539885,en,Ava,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,625.453,/qzA87Wf4jo1h8JMk9GilyIYvwsA.jpg,7/2/2020,Ava,FALSE,5.7,1390,tt8784956,2987741,0,39,5.4,"39,671","$497,747 "
17,FALSE,/jiqD14fg7UTZOT6qgvzTmfRYpWI.jpg,"[28, 80]",495764,en,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",580.339,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,2/5/2020,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),FALSE,7.1,7175,tt7713068,201858461,75000000,60,6.1,"173,258","$84,158,461 "
