adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,/2VO3HTqYbyoe4qbiRcn521s2QMm.jpg,,0,"[{'id': 36, 'name': 'History'}, {'id': 99, 'name': 'Documentary'}]",,484000,tt0861731,en,Roman Vice,"Surveys the love of luxury, sexual excess and cruelty that formed the dark underside of the Roman empire",5.485,/wHoNokwqoG3BK8FRDCEKI2MZ9ns.jpg,"[{'id': 2015, 'logo_path': None, 'name': 'DSP', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2005-09-06,0,0.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Roman Vice,False,0.0,0,,,,
True,/sXpZ1aE2H4NZwFx2ckkxb4bvpI6.jpg,,0,[],,484007,tt6294802,en,My DP,"This movie features incredible and intense Double Penetrations shot in a cinematic style unique to the studio and with ""movie like"" story lines. Featuring Aidra Fox in a rare DP scene, teen sensation Megan Rain, centerfold model Chloe Amour and curvy all natural Keisha Grey.",0.6,/7DGO9aqX773pXCkyEHy26UgBHiD.jpg,"[{'id': 72478, 'logo_path': '/rbTCSIzpP2u4rMNxvcFm2Xgqw3s.png', 'name': 'Tushy', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-05-23,0,157.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,My DP,False,0.0,0,,,,
False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",,484009,tt0319124,en,The Burgomaster of Stilemonde,"In Belgium during the first World War , the Uhlans order the burgomaster to be shot by his son-in-law.",0.6,,"[{'id': 90311, 'logo_path': None, 'name': 'British Filmcraft Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1929-05-20,0,,[],Released,,The Burgomaster of Stilemonde,False,0.0,0,,,,
False,,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,484013,tt0319159,en,The Celestial City,A British silent crime film directed by J. O. C. Orton,0.6,,"[{'id': 28184, 'logo_path': None, 'name': 'BIF', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1929-03-01,0,,[],Released,,The Celestial City,False,0.0,0,,,,
False,,,0,"[{'id': 27, 'name': 'Horror'}]",,484014,tt0321628,en,Chamber of Horrors,A man spends the night in the Chamber of Horrors of Madame Tussauds.,0.6,,"[{'id': 28184, 'logo_path': None, 'name': 'BIF', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1929-03-01,0,,[],Released,,Chamber of Horrors,False,0.0,0,,,,
False,,,0,"[{'id': 18, 'name': 'Drama'}]",,484017,tt0019770,en,City of Play,A British drama film directed by Denison Clift,0.6,,"[{'id': 1221, 'logo_path': None, 'name': 'Gainsborough Pictures', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1929-07-01,0,80.0,[],Released,,City of Play,False,0.0,0,,,,
False,/pi90tw3zxq2HSags9YchonToBT2.jpg,,2000000,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,484018,tt1272001,en,The Abbey Road Story,"Television documentary about the legendary Abbey Road Studios in London, England.",4.536,/bzH3xYz1koR9xLqSsmp2Nj2fW1E.jpg,"[{'id': 96742, 'logo_path': None, 'name': 'EPL Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1998-01-04,0,65.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Abbey Road Story,False,0.0,0,,,,
True,,,0,"[{'id': 10749, 'name': 'Romance'}]",,484019,tt1480879,en,Women Seeking Women 10,What women really do when they're alone.,0.6,/5M2OFssNp6qcm1l3T40ETAsrNk3.jpg,"[{'id': 6978, 'logo_path': '/ySmCvcaG2jqPO98ZLQlmQE4U2N0.png', 'name': 'Girlfriends Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-08-07,0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Women Seeking Women 10,False,0.0,0,,,,
True,,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",,484024,tt0123521,en,Blonde Goddess,"The erotic, macho dreams of Elmo Smathers, shy comic book artist, transport him first to a lush South American forest, where he meets a tribe of lusty warriors, and ultimately their beautiful pagan queen, The Blonde Goddess.  Next, Elmo's fantasies take him to France during WW1 where he defeats the Black Baron in a thrilling sky duel. Both men live to share the insatiable ladies of the Chateau. The Blonde Goddess appears, as she does at the climax of each fantasy, luring him to place of endless lust.  Jack Hammer, Private Eye, is Elmo's next reverie. Hammer's current case involves intimate associations with the sexy sirens of the 1940's.  Thrusting into the future, Elmo battles the galactic overlord, Megazon, for the safety of the universe and the flesh of the five succulent otherworldly beauties.",0.844,/hLBXLmyWlrEaCMoh0RjfxIfMWKQ.jpg,"[{'id': 93164, 'logo_path': None, 'name': 'Planet Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1982-05-05,0,84.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,...An Erotic Climax To The 20th Century,Blonde Goddess,False,0.0,0,,,,
True,,,0,"[{'id': 10749, 'name': 'Romance'}]",,484026,tt1480913,en,Women Seeking Women 8,What women really do when they're alone.,1.4,/6PlaN6vdpXZ0XSjbZTcRLmthzXd.jpg,"[{'id': 6978, 'logo_path': '/ySmCvcaG2jqPO98ZLQlmQE4U2N0.png', 'name': 'Girlfriends Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-03-03,0,147.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Women Seeking Women 8,False,0.0,0,,,,
