adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",http://enormousmovie.com/,484078,tt6399092,en,Enormous: The Gorge Story,"Enormous: The Gorge Story carves out the never-before-told story of the world’s most iconic music venue, The Gorge Amphitheatre. This music film investigates the venue’s unlikely evolution from a small winery created by a neurosurgeon to becoming one of the greatest outdoor music destinations in the world. Sign up to our mailing list for updates and original music content.",0.7340000000000001,/zSEpJVI8rQzqiyOoOrVlomNUpPq.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-02-01,0,65.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"A story 15,000 years in the making",Enormous: The Gorge Story,False,10.0,1,,,,
False,/57mwBfohxxgnG7jrTzud0lcIcXC.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",https://www.starz.com/movies/35085,484133,tt6323306,en,Nude,NUDE explores perceptions of nudity in art by chronicling the creative process of photographer David Bellemere as he's commissioned by NU Muses founder Steve Shaw to shoot a fine art calendar of nude photographs.,11.007,/x6dCEObeulV087wlJeYEvp7D0at.jpg,"[{'id': 39771, 'logo_path': None, 'name': 'Starz Entertainment', 'origin_country': ''}, {'id': 96765, 'logo_path': None, 'name': 'Wall Fly', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-29,0,89.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A body of work.,Nude,False,5.8,12,,,,
False,/raQdfb8ORIgZPzO2F1vglX1hQZ4.jpg,,2000,"[{'id': 35, 'name': 'Comedy'}]",,484189,tt1316035,en,Bend & Break,"A group of twenty-somethings struggle through the misguided awkwardness that comes with early romance. Bryce meets a French girl one day in the city. Jules runs into an old flame he has secretly been in love with for years. Blake realizes that his friend's sister is suddenly ""all grown up"" and these young men are forced to come to grips with the unknown... women.",0.6,/cso2s5OBUhF5Jsjl2nPQteosnIL.jpg,"[{'id': 96774, 'logo_path': None, 'name': 'Big Idea Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2008-05-02,0,87.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A comedy about nothing in particular.,Bend & Break,False,6.0,1,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,484218,tt4896312,en,Hunting Party,"Five friends go out for the best night of their lives and their last together. To hunt for love, cheap drinks and salvation.",0.6,/rCeNZIXwp1TxumodrX1T99WuBWH.jpg,"[{'id': 39378, 'logo_path': None, 'name': 'Casa Comal', 'origin_country': ''}, {'id': 149554, 'logo_path': None, 'name': 'Hunter 11 Films', 'origin_country': ''}, {'id': 149555, 'logo_path': None, 'name': 'Ricky Lopez Bruni Cine', 'origin_country': ''}, {'id': 44367, 'logo_path': None, 'name': 'Rocket Art Co.', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GT', 'name': 'Guatemala'}]",2015-09-10,0,105.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"Party tonight, in Antigua there is no tomorrow.",Hunting Party,False,0.0,0,,,,
False,,,1000,[],https://www.youtube.com/watch?v=m3_Oh6SF-_w,484220,tt7277084,en,Flirting With Fate,A dark comedy about a depressed man named Craig who goes on an adventure after a hot girl gives him new purpose in life.,0.6,,[],[],2017-08-11,0,10.0,[],Released,Kill Yourself. Again.,Flirting With Fate,False,0.0,0,,,,
False,,,100,[],https://www.youtube.com/watch?v=nHAYORPn1F0&t=2s,484221,tt7316570,en,Are You Afraid Yet?,"When the game show ""Are You Afraid Yet?"" starts to loose viewership, the producers twist the rules of the game in a desperate attempt to boost ratings.",0.857,,[],[],2017-08-25,0,7.0,[],Released,Game Shows Aren't Just For Daytime,Are You Afraid Yet?,False,0.0,0,,,,
False,/t97gMGdQUROInP58h8eyDhga3cq.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",,484238,tt1680140,en,The Stolen,"The story of a woman who must find her kidnapped son, navigating a world she doesn't know, on the edge of danger with every heartbeat.",7.131,/dSjhS3AuqaCGH81k1z8VoIct3C2.jpg,"[{'id': 73605, 'logo_path': None, 'name': 'MiriquidiFilm', 'origin_country': 'DE'}, {'id': 5056, 'logo_path': '/kADFcjL04xe5HGBnlLjbfhliS2a.png', 'name': 'Head Gear Films', 'origin_country': 'GB'}, {'id': 50079, 'logo_path': None, 'name': 'Kreo Films FZ', 'origin_country': 'AE'}, {'id': 68759, 'logo_path': None, 'name': 'Cork Films', 'origin_country': ''}, {'id': 25954, 'logo_path': None, 'name': 'Metrol Technology', 'origin_country': 'GB'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2017-10-29,0,98.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Maori', 'iso_639_1': 'mi', 'name': ''}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,She's coming for you,The Stolen,False,5.5,52,,,,
False,/xXGNyEG2v48q0bVR4AH4Vca2yvy.jpg,,20000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",https://asimplefavor.movie/,484247,tt7040874,en,A Simple Favor,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",31.796,/5EJWZQ8dh99hfgXP9zAD5Ak5Hrn.jpg,"[{'id': 61791, 'logo_path': '/f72ubyCeowgOQO7n4IZR18KN9Aq.png', 'name': 'Feigco Entertainment', 'origin_country': 'US'}, {'id': 13240, 'logo_path': '/aTc07YaNHo8WNgkQSnvLmG6w4nW.png', 'name': 'Bron Studios', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-08-29,97644617,117.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Can you keep a secret?,A Simple Favor,False,6.6,3061,,,,
False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",http://flathuntfilm.weebly.com/,484260,tt7572906,en,Flat Hunt,"Stuck in a room with two hit-men, three students must keep their wits about them in order to survive the night.",0.6,/73Mk4ygyGiYfarB7WbbCPm5VLMq.jpg,"[{'id': 96792, 'logo_path': None, 'name': 'Liquid Picnic Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-03-21,0,44.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"If they knock, don't answer.",Flat Hunt,False,0.0,0,,,,
False,/yjisfgMwHr4jnSfiLKuMRZ0J0vl.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,484297,tt5805768,en,Abe,"The Israeli-Jewish side of his family calls him Avram. The Palestinian-Muslim side Ibrahim. His first-generation American agnostic lawyer parents call him Abraham. But the 12-year-old kid from Brooklyn who loves food and cooking, prefers, well, Abe. Just Abe.",10.059,/76p3jexoFjSxTiChHbyDh0FwAun.jpg,"[{'id': 17090, 'logo_path': '/fmCUAzog8B4VVeIAxrmAGMeAmqw.png', 'name': 'FJ Productions', 'origin_country': 'US'}, {'id': 92048, 'logo_path': None, 'name': 'Spray Filmes', 'origin_country': 'BR'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'BR', 'name': 'Brazil'}]",2020-12-24,0,85.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,You can’t choose your family,Abe,False,8.0,2,,,,
