adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
False,/s1r2aBDzkvlFkNnAgxWFTCQjKPe.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",,45958,tt1164999,es,Biutiful,"This is a story of a man in free fall. On the road to redemption, darkness lights his way. Connected with the afterlife, Uxbal is a tragic hero and father of two who's sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive, for love, and forever.",9.4,/8cj0Q2uFfpTkCw4gMqqcTBpdoqF.jpg,"[{'id': 7116, 'logo_path': None, 'name': 'Menageatroz', 'origin_country': ''}, {'id': 5444, 'logo_path': None, 'name': 'Mod Producciones', 'origin_country': 'ES'}, {'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 2875, 'logo_path': '/3fNapBvM3EHlyL9TxdP5qEOUNeN.png', 'name': 'Ikiru Films', 'origin_country': 'ES'}, {'id': 5085, 'logo_path': '/mPuVc7m1Ki7OQQvAYwYfIlEI3vu.png', 'name': 'TV3', 'origin_country': 'ES'}, {'id': 981, 'logo_path': '/pkrdO9ykplO4Zc8edikoSX5APUN.png', 'name': 'TVE', 'origin_country': 'ES'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",2010-10-20,25147786,148,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'english_name': 'Wolof', 'iso_639_1': 'wo', 'name': 'Wolof'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse.",Biutiful,False,7.3,772,,,,
False,/ivo5vhAftxFiEZtDyOhepiYR24G.jpg,,38000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",http://www.truegritmovie.com/,44264,tt1403865,en,True Grit,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",19.763,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 258, 'logo_path': None, 'name': 'Scott Rudin Productions', 'origin_country': 'US'}, {'id': 2092, 'logo_path': None, 'name': 'Mike Zoss Productions', 'origin_country': 'US'}, {'id': 82819, 'logo_path': '/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png', 'name': 'Skydance Media', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-12-22,252276927,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Punishment Comes One Way or Another.,True Grit,False,7.3,3904,,,,
False,/lpn1whaulslRtxxufxX9lhEQ0Bn.jpg,,40000000,"[{'id': 18, 'name': 'Drama'}]",http://www.thesocialnetwork-movie.com,37799,tt1285016,en,The Social Network,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.",26.625,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 7295, 'logo_path': '/5MYE96QiE5a5oFhXxFb4y8ILSpw.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 258, 'logo_path': None, 'name': 'Scott Rudin Productions', 'origin_country': 'US'}, {'id': 11370, 'logo_path': None, 'name': 'Michael De Luca Productions', 'origin_country': 'US'}, {'id': 7626, 'logo_path': '/4839MGss4pPAalhqqYH1AD1CnEj.png', 'name': 'Trigger Street Productions', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-10-01,224920315,121,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,You don't get to 500 million friends without making a few enemies.,The Social Network,False,7.3,8682,,,,
False,/5eb7l7AE2yU0mvb38fR5qLNhDDH.jpg,,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",http://www.kingsspeech.com/,45269,tt1504320,en,The King's Speech,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",23.222,/uQ538BfYLDJh3GXlzRZLo0j7PFj.jpg,"[{'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}, {'id': 2452, 'logo_path': '/6CLoZ59fLPG7UyxQtGTqRevjf58.png', 'name': 'UK Film Council', 'origin_country': 'GB'}, {'id': 19578, 'logo_path': None, 'name': 'Momentum Pictures', 'origin_country': 'CA'}, {'id': 7309, 'logo_path': None, 'name': 'Aegis Film Fund', 'origin_country': ''}, {'id': 19579, 'logo_path': None, 'name': 'Molinare Investment', 'origin_country': ''}, {'id': 7493, 'logo_path': '/452FO4LcI6lA6bfgl6w1kQYRBlr.png', 'name': 'FilmNation Entertainment', 'origin_country': 'US'}, {'id': 7217, 'logo_path': '/vFbexaF70wSMUHRA6Fy6UcuA1ju.png', 'name': 'See-Saw Films', 'origin_country': 'GB'}, {'id': 5005, 'logo_path': '/letEuggPWBjO3HVu1QKAy5DoJZU.png', 'name': 'Bedlam Productions', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2010-09-06,414211549,118,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Find your voice.,The King's Speech,False,7.7,6674,,,,
False,/viBWzktrBmhzRw4ehmUIrrN4C0z.jpg,,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,44115,tt1542344,en,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,28.469,/dC4OeWxsQBqHEKnoUh9nF7S8Cm6.jpg,"[{'id': 43, 'logo_path': '/4RgIPr55kBakgupWkzdDxqXJEqr.png', 'name': 'Fox Searchlight Pictures', 'origin_country': 'US'}, {'id': 7981, 'logo_path': '/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png', 'name': 'Pathé!', 'origin_country': 'FR'}, {'id': 10892, 'logo_path': None, 'name': 'Everest Entertainment', 'origin_country': ''}, {'id': 20076, 'logo_path': '/i9qXGJIP9fGN22PP5jXUVENbyHi.png', 'name': 'HandMade Films', 'origin_country': 'GB'}, {'id': 174, 'logo_path': '/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 6705, 'logo_path': '/e8EXNSfwr5E9d3TR8dHKbQnQK4W.png', 'name': 'Film4 Productions', 'origin_country': 'GB'}, {'id': 6707, 'logo_path': '/5bJmjTayNNSJt1VTEKDpXFM04H1.png', 'name': 'Cloud Eight Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-11-05,35692920,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,There is no force more powerful than the will to live.,127 Hours,False,7.0,5736,,,,
False,/5Hwc7HRwfR10RlnUMTpkwN4HYWL.jpg,,25000000,"[{'id': 18, 'name': 'Drama'}]",http://www.thefightermovie.com,45317,tt0964517,en,The Fighter,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",18.406,/jcQYWWi2y1vNsGlJJ2jNcFq0y1n.jpg,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-12-17,93617009,116,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every dream deserves a fighting chance.,The Fighter,False,7.4,3170,,,,
False,/z6a44l2583Y4xvaYxBKe9ddW9V6.jpg,,2000000,"[{'id': 18, 'name': 'Drama'}]",http://www.wintersbonemovie.com,39013,tt1399683,en,Winter's Bone,"17 year-old Ree Dolly sets out to track down her father, who put their house up for his bail bond and then disappeared. If she fails, Ree and her family will be turned out into the Ozark woods. Challenging her outlaw kin's code of silence and risking her life, Ree hacks through the lies, evasions and threats offered up by her relatives and begins to piece together the truth.",11.424,/a0qhPkNlxLfsf5B2jFyI1Pp04XV.jpg,"[{'id': 10039, 'logo_path': '/b8w4LldQolMKiLZw4FQJBcXSDGI.png', 'name': 'Anonymous Content', 'origin_country': 'US'}, {'id': 19778, 'logo_path': None, 'name': ""Winter's Bone Productions"", 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-06-11,13831503,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Talking Just Causes Witnesses,Winter's Bone,False,6.8,1246,,,,
False,/1HPXFPe4SzeQKHSoU49FXwdFQXi.jpg,,37000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://thetownmovie.warnerbros.com/,23168,tt0840361,en,The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",29.479,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,"[{'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Pictures', 'origin_country': 'US'}, {'id': 3281, 'logo_path': '/8tMybAieh64uzvm8knSjXOFX8Qc.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-09-15,154026136,125,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Welcome to the bank robbery capital of America.,The Town,False,7.2,3417,,,,
False,/gcCboyK7fIY4OZHawDm42NRS1hY.jpg,,3500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",https://www.focusfeatures.com/the_kids_are_all_right,39781,tt0842926,en,The Kids Are All Right,"Two women, Nic and Jules, brought a son and daughter into the world through artificial insemination. When one of their children reaches age, both kids go behind their mothers' backs to meet with the donor. Life becomes so much more interesting when the father, two mothers and children start to become attached to each other.",9.76,/xQ5XqZc82dDCcGjxY7voRKjhaKQ.jpg,"[{'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 6667, 'logo_path': None, 'name': 'Mandalay Vision', 'origin_country': ''}, {'id': 6691, 'logo_path': None, 'name': '10th Hole Productions', 'origin_country': ''}, {'id': 10161, 'logo_path': None, 'name': 'Gilbert Films', 'origin_country': 'US'}, {'id': 23910, 'logo_path': None, 'name': 'Saint Aire Production', 'origin_country': ''}, {'id': 23911, 'logo_path': None, 'name': 'Artist International', 'origin_country': ''}, {'id': 23912, 'logo_path': None, 'name': 'Antidote Films (I)', 'origin_country': ''}, {'id': 23913, 'logo_path': None, 'name': 'Artist International Management', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-07-09,34705850,106,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Nic and Jules had the perfect family, until they met the man who made it all possible.",The Kids Are All Right,False,6.6,1089,,,,
False,/fTMCH5qMQIFqA25NQTpP0gddpef.jpg,,5000000,"[{'id': 18, 'name': 'Drama'}]",http://www.rabbitholefilm.com/,27585,tt0935075,en,Rabbit Hole,Life for a happy couple is turned upside down after their young son dies in an accident.,12.57,/zTUQXwMn4ndt5AAcDvJCi14ZY2B.jpg,"[{'id': 7400, 'logo_path': None, 'name': 'Olympus Pictures', 'origin_country': ''}, {'id': 3263, 'logo_path': '/z0fbODSLBptxVKekL0950Lr71zU.png', 'name': 'OddLot Entertainment', 'origin_country': 'US'}, {'id': 32537, 'logo_path': '/aP5Zrt1OM2mn2YkDn7aIBfd5QCx.png', 'name': 'Blossom Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-12-16,5132850,91,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The only way out is through.,Rabbit Hole,False,6.8,386,,,,
