,original_language,release_date,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_profit
30,en,2014-05-14,123.0,Godzilla,"Action, Adventure, Sci-Fi, Thriller",2014,"[{None: None}, {None: None}, {None: None}]",PG-13,6.2666666666666675,169712760.20546094,391480739.97356975
36,en,2017-03-08,118.0,Kong: Skull Island,"Action, Adventure, Fantasy, Sci-Fi",2017,"[{None: None}, {None: None}, {None: None}]",PG-13,6.433333333333334,189518582.73498693,390974594.740878
38,en,2018-08-09,113.0,The Meg,"Action, Horror, Sci-Fi, Thriller",2018,"[{None: None}, {None: None}, {None: None}]",PG-13,5.466666666666667,150000000.0,380243742.0
45,en,2016-10-07,139.0,Hacksaw Ridge,"Biography, Drama, History, War",2016,"[{None: None}, {None: None}, {None: None}]",R,7.766666666666666,41849946.043240406,141559905.3605853
49,en,2018-09-05,107.0,The Predator,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",R,5.2333333333333325,88000000.0,72542134.0
50,en,2017-11-15,120.0,Justice League,"Action, Adventure, Fantasy, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",PG-13,5.666666666666667,307327431.462141,366666514.1341588
51,en,2018-04-12,107.0,Rampage,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",PG-13,5.666666666666666,120000000.0,306245950.0
52,en,2014-01-01,84.0,Paranormal Activity: The Marked Ones,"Horror, Mystery",2014,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",R,4.866666666666667,5303523.756420654,86301454.55614693
55,en,2018-03-28,140.0,Ready Player One,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",PG-13,7.133333333333333,175000000.0,407890172.0
56,en,2005-12-12,187.0,King Kong,"Action, Adventure, Drama, Romance",2005,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",PG-13,7.366666666666666,266150276.49769583,456908600.04118276
61,en,2017-10-27,105.0,Coco,"Animation, Adventure, Family, Fantasy, Music, Mystery",2017,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",PG,8.233333333333333,179274335.01958224,640804345.0089957
64,en,2013-03-20,98.0,The Croods,"Animation, Adventure, Comedy, Family, Fantasy",2013,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",PG,6.533333333333333,145518035.5172843,487436555.1044872
72,en,2017-10-25,131.0,Thor: Ragnarok,"Action, Adventure, Comedy, Fantasy, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",PG-13,7.633333333333333,184396458.8772846,690438863.3260524
73,en,2017-05-30,141.0,Wonder Woman,"Action, Adventure, Fantasy, Sci-Fi, War",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",PG-13,7.433333333333334,152639290.95953003,689281146.5497879
75,en,2016-08-18,102.0,Kubo and the Two Strings,"Animation, Action, Adventure, Family, Fantasy",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",PG,7.966666666666667,62774919.064860605,17000952.58832451
76,en,2014-12-03,150.0,Exodus: Gods and Kings,"Action, Adventure, Drama, Fantasy",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,5.666666666666667,148498665.17977834,135803968.27519262
77,en,2018-05-10,119.0,Deadpool 2,"Action, Adventure, Comedy, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",R,7.266666666666667,110000000.0,676365638.0
80,en,2017-09-01,132.0,Call Me by Your Name,"Drama, Romance",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",R,8.5,4097699.08616188,37968741.90937092
83,en,2008-09-19,87.0,Igor,"Animation, Comedy, Family, Fantasy",2008,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",PG,5.166666666666666,29157396.78499603,6647886.466979098
84,en,2014-09-10,113.0,The Maze Runner,"Action, Mystery, Sci-Fi, Thriller",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",PG-13,6.533333333333333,36063961.54366045,333400569.9856676
85,en,2017-03-03,132.0,The Shack,"Drama, Fantasy",2017,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",PG-13,5.633333333333334,20488495.430809397,74705566.9318497
86,en,2019-08-09,99.0,Brian Banks,"Biography, Drama, Sport",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Metacritic', 'Value': '58/100'}]",PG-13,6.7333333333333325,10.0,-6.0
88,ko,2016-07-20,118.0,Train to Busan,"Action, Horror, Thriller",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",Not Rated,7.533333333333333,9227913.102534508,82368559.51045595
90,en,2016-10-25,115.0,Doctor Strange,"Action, Adventure, Fantasy, Sci-Fi",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",PG-13,7.366666666666667,172631027.42836666,536411683.4092339
91,en,2018-03-21,111.0,Pacific Rim: Uprising,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",PG-13,5.366666666666666,150000000.0,140061297.0
92,en,2018-07-04,119.0,Ant-Man and the Wasp,"Action, Adventure, Comedy, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",PG-13,7.0,140000000.0,482674139.0
93,en,2014-02-28,138.0,Son of God,"Biography, Drama, History",2014,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",PG-13,5.4,23335504.52825088,48580345.49391728
95,en,2016-08-17,125.0,Ben-Hur,"Action, Adventure, Drama, History",2016,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",PG-13,5.066666666666667,104624865.10810101,-6213345.355439633
97,en,2001-05-18,90.0,Shrek,"Animation, Adventure, Comedy, Family, Fantasy",2001,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",PG,7.933333333333334,85072953.1338227,601762425.207939
98,ja,2008-07-19,100.0,Ponyo,"Animation, Adventure, Comedy, Family, Fantasy",2008,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",G,8.0,48608528.27314529,187454431.77833098
99,en,2018-12-15,114.0,Bumblebee,"Action, Adventure, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",PG-13,6.7,135000000.0,332989645.0
100,en,2016-03-23,152.0,Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",2016,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",PG-13,5.566666666666666,261562162.77025253,652477192.7707651
101,en,2018-03-23,108.0,"Paul, Apostle of Christ","Adventure, Biography, Drama, History",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,6.4,5000000.0,17525668.0
102,en,2015-02-11,125.0,Fifty Shades of Grey,"Drama, Romance, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",R,4.866666666666666,4237788.850588776,600713061.8634782
